CDI
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/25/1996
10/25/1996
2/20/1997
4/25/1997
7/25/1997
10/24/1997
2/20/1998
4/29/1998
7/27/1998
10/26/1998
2/22/1999
4/26/1999
7/26/1999
10/25/1999
2/22/2000
4/24/2000
7/24/2000
10/23/2000
2/20/2001
4/25/2001
7/25/2001
10/24/2001
2/20/2002
4/24/2002
7/24/2002
10/23/2002
2/20/2003
4/23/2003
7/23/2003
10/22/2003
2/25/2004
4/22/2004
7/22/2004
10/21/2004
3/2/2005
5/4/2005
8/4/2005
10/27/2005
3/1/2006
4/27/2006
7/27/2006
10/26/2006
2/27/2007
4/26/2007
7/26/2007
10/25/2007
2/28/2008
4/30/2008
7/31/2008
10/30/2008
2/26/2009
4/30/2009
7/30/2009
10/29/2009
2/23/2010
4/29/2010
7/29/2010
10/28/2010
2/22/2011
4/28/2011
7/28/2011
10/27/2011
2/28/2012
5/8/2012
7/26/2012
10/30/2012
2/26/2013
5/2/2013
8/1/2013
10/30/2013
2/26/2014
5/7/2014
8/6/2014
10/28/2014
3/3/2015
5/5/2015
8/5/2015
11/4/2015
3/2/2016
08/03/2016
11/02/2016
03/01/2017
