RSCR
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/25/1996
10/31/1996
2/27/1997
4/11/1997
7/24/1997
10/22/1997
2/25/1998
4/22/1998
7/22/1998
10/21/1998
2/24/1999
4/21/1999
8/2/1999
10/27/1999
2/24/2000
4/26/2000
7/27/2000
11/1/2000
3/5/2001
5/3/2001
8/2/2001
10/31/2001
3/6/2002
5/2/2002
8/1/2002
11/5/2002
3/5/2003
5/7/2003
8/6/2003
11/5/2003
2/25/2004
5/5/2004
8/4/2004
11/3/2004
2/23/2005
4/27/2005
8/3/2005
11/2/2005
3/2/2006
5/9/2006
8/3/2006
11/6/2006
3/5/2007
5/9/2007
8/6/2007
11/5/2007
3/10/2008
5/7/2008
8/7/2008
11/5/2008
3/9/2009
5/7/2009
8/6/2009
11/5/2009
3/8/2010
5/6/2010
8/5/2010
11/4/2010
2/16/2012
5/9/2011
8/4/2011
11/3/2011
2/16/2012
5/7/2012
8/6/2012
11/1/2012
2/20/2013
5/6/2013
8/5/2013
11/12/2013
2/18/2014
5/9/2014
8/4/2014
11/10/2014
