MTH
LATEST_ANNOUNCEMENT_DT
5/14/1997
7/28/1997
10/22/1997
2/3/1998
5/5/1998
7/30/1998
10/22/1998
1/28/1999
4/29/1999
7/29/1999
10/28/1999
2/8/2000
4/27/2000
7/27/2000
11/14/2000
2/8/2001
4/26/2001
7/31/2001
10/30/2001
2/6/2002
4/25/2002
7/25/2002
10/24/2002
2/6/2003
4/24/2003
7/21/2003
10/20/2003
1/28/2004
4/20/2004
7/20/2004
10/25/2004
1/26/2005
4/25/2005
7/27/2005
10/25/2005
1/26/2006
4/25/2006
7/26/2006
10/25/2006
1/24/2007
4/25/2007
7/26/2007
10/25/2007
1/28/2008
4/28/2008
7/28/2008
10/27/2008
1/28/2009
4/27/2009
7/27/2009
10/26/2009
1/26/2010
4/28/2010
7/27/2010
10/27/2010
2/2/2011
4/28/2011
7/29/2011
10/27/2011
1/31/2012
4/24/2013
7/26/2012
10/25/2012
1/31/2013
4/24/2013
7/24/2013
10/23/2013
2/5/2014
4/23/2014
7/24/2014
10/29/2014
1/29/2015
4/23/2015
7/29/2015
10/29/2015
1/28/2016
04/28/2016
07/28/2016
10/27/2016
02/01/2017
04/27/2017
