MGXX
LATEST_ANNOUNCEMENT_DT
4/11/1996
7/11/1996
10/10/1996
1/14/1997
4/10/1997
7/10/1997
10/14/1997
1/23/1998
4/14/1998
7/16/1998
10/14/1998
1/21/1999
4/14/1999
7/15/1999
10/12/1999
1/19/2000
4/12/2000
7/13/2000
10/16/2000
2/2/2001
4/17/2001
7/12/2001
10/11/2001
1/22/2002
4/16/2002
7/15/2002
10/23/2002
2/21/2003
5/12/2003
8/18/2003
11/10/2003
3/16/2004
5/17/2004
7/28/2004
10/28/2004
1/27/2005
5/10/2005
7/28/2005
11/2/2005
3/15/2006
4/28/2006
8/11/2006
11/20/2006
