VTRU
LATEST_ANNOUNCEMENT_DT
10/31/1996
1/22/1997
4/24/1997
7/29/1997
10/22/1997
1/19/1998
4/27/1998
7/28/1998
10/22/1998
1/25/1999
4/26/1999
7/28/1999
10/27/1999
1/31/2000
4/26/2000
7/28/2000
10/26/2000
1/30/2001
4/26/2001
7/31/2001
10/25/2001
1/24/2002
4/23/2002
7/30/2002
10/23/2002
1/30/2003
4/29/2003
7/29/2003
10/27/2003
1/27/2004
4/28/2004
7/28/2004
10/26/2004
1/25/2005
4/27/2005
7/28/2005
10/25/2005
1/24/2006
4/25/2006
8/1/2006
10/31/2006
1/24/2007
5/8/2007
8/1/2007
