CPICQ
LATEST_ANNOUNCEMENT_DT
5/29/1996
8/26/1996
12/10/1996
4/4/1997
5/28/1997
8/18/1997
12/5/1997
4/9/1998
6/2/1998
8/25/1998
12/15/1998
4/9/1999
6/2/1999
8/25/1999
12/13/1999
4/7/2000
5/31/2000
8/22/2000
12/12/2000
4/6/2001
5/30/2001
8/21/2001
12/11/2001
4/5/2002
6/4/2002
8/15/2002
12/5/2002
4/3/2003
6/3/2003
8/15/2003
12/3/2003
4/15/2004
6/2/2004
8/26/2004
12/16/2004
4/18/2005
5/31/2005
9/1/2005
12/22/2005
3/31/2006
5/30/2006
8/22/2006
12/19/2006
4/11/2007
6/5/2007
8/28/2007
12/19/2007
4/15/2008
6/3/2008
8/25/2008
12/17/2008
4/21/2009
6/11/2009
9/1/2009
12/22/2009
4/20/2010
6/8/2010
8/31/2010
12/21/2010
4/19/2011
6/7/2011
8/31/2011
12/22/2011
5/4/2012
6/7/2012
8/30/2012
12/31/2012
