HNI
LATEST_ANNOUNCEMENT_DT
4/20/1993
7/16/1993
10/25/1993
1/27/1994
4/14/1994
7/15/1994
10/14/1994
2/1/1995
4/18/1995
7/18/1995
10/17/1995
2/2/1996
4/12/1996
7/17/1996
10/15/1996
2/4/1997
4/15/1997
7/15/1997
10/21/1997
2/10/1998
4/21/1998
7/21/1998
10/20/1998
2/2/1999
4/20/1999
7/20/1999
10/19/1999
2/8/2000
4/19/2000
7/18/2000
11/6/2000
2/7/2001
4/18/2001
7/24/2001
10/16/2001
2/7/2002
4/16/2002
7/16/2002
10/22/2002
2/5/2003
4/22/2003
7/21/2003
10/22/2003
2/10/2004
4/21/2004
7/22/2004
10/21/2004
2/14/2005
4/20/2005
7/21/2005
10/19/2005
2/8/2006
4/20/2006
7/21/2006
10/19/2006
2/7/2007
4/19/2007
7/19/2007
10/18/2007
2/6/2008
4/17/2008
7/16/2008
10/15/2008
2/17/2009
4/22/2009
7/22/2009
10/21/2009
2/9/2010
4/21/2010
7/21/2010
10/20/2010
2/8/2011
4/20/2011
7/20/2011
10/19/2011
2/7/2012
4/18/2012
7/18/2012
10/17/2012
2/5/2013
4/17/2013
7/17/2013
10/16/2013
2/4/2014
4/16/2014
7/16/2014
10/15/2014
2/11/2015
4/22/2015
7/22/2015
10/21/2015
02/10/2016
04/21/2016
07/21/2016
10/19/2016
02/08/2017
04/20/2017
