ARCB
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/23/1996
10/24/1996
1/30/1997
4/23/1997
7/24/1997
10/17/1997
1/29/1998
4/21/1998
7/21/1998
10/19/1998
1/22/1999
4/14/1999
7/20/1999
10/19/1999
1/20/2000
4/18/2000
7/20/2000
10/17/2000
1/23/2001
4/20/2001
7/19/2001
10/18/2001
1/22/2002
4/19/2002
7/18/2002
10/21/2002
1/21/2003
4/21/2003
7/18/2003
10/20/2003
1/26/2004
4/20/2004
7/20/2004
10/21/2004
1/27/2005
4/25/2005
7/25/2005
10/24/2005
1/26/2006
4/24/2006
7/24/2006
10/23/2006
1/24/2007
4/25/2007
7/25/2007
10/26/2007
1/25/2008
4/23/2008
7/23/2008
10/22/2008
1/29/2009
4/22/2009
7/22/2009
11/4/2009
1/28/2010
4/23/2010
7/21/2010
11/3/2010
2/3/2011
4/25/2011
8/2/2011
10/28/2011
1/27/2012
4/27/2012
7/31/2012
11/1/2012
1/30/2013
4/30/2013
8/9/2013
11/11/2013
1/30/2014
5/1/2014
7/31/2014
11/3/2014
2/4/2015
5/4/2015
8/3/2015
10/30/2015
2/3/2016
04/29/2016
07/29/2016
11/03/2016
02/08/2017
05/05/2017
