HSTM
LATEST_ANNOUNCEMENT_DT
5/9/2000
8/7/2000
11/6/2000
2/26/2001
5/1/2001
7/31/2001
10/30/2001
2/25/2002
4/30/2002
7/30/2002
10/29/2002
2/25/2003
4/28/2003
7/29/2003
10/28/2003
2/25/2004
4/27/2004
7/27/2004
10/26/2004
2/22/2005
4/26/2005
7/26/2005
10/26/2005
2/22/2006
4/25/2006
7/25/2006
10/24/2006
2/20/2007
4/24/2007
7/24/2007
10/23/2007
2/19/2008
4/22/2008
7/22/2008
10/28/2008
2/25/2009
4/27/2009
7/27/2009
10/26/2009
2/23/2010
4/26/2010
7/26/2010
10/25/2010
2/22/2011
4/25/2011
7/25/2011
10/24/2011
2/21/2012
4/23/2012
7/23/2012
10/22/2012
2/26/2013
4/22/2013
7/22/2013
10/21/2013
2/18/2014
4/21/2014
7/21/2014
10/20/2014
2/18/2015
4/20/2015
7/20/2015
10/19/2015
2/16/2016
04/25/2016
07/25/2016
11/02/2016
02/21/2017
04/24/2017
