GPI
LATEST_ANNOUNCEMENT_DT
2/17/1998
4/21/1998
7/22/1998
10/21/1998
2/3/1999
4/22/1999
7/22/1999
10/27/1999
3/30/2000
4/27/2000
7/27/2000
10/26/2000
2/15/2001
4/26/2001
7/26/2001
10/25/2001
2/14/2002
4/23/2002
7/25/2002
10/24/2002
2/19/2003
5/1/2003
7/31/2003
10/30/2003
2/26/2004
4/29/2004
7/29/2004
10/28/2004
2/24/2005
5/4/2005
8/2/2005
11/1/2005
2/23/2006
5/2/2006
8/1/2006
10/31/2006
2/21/2007
4/26/2007
7/31/2007
10/30/2007
2/26/2008
4/29/2008
7/29/2008
10/28/2008
2/19/2009
4/28/2009
7/28/2009
10/27/2009
2/11/2010
4/27/2010
7/27/2010
10/26/2010
2/10/2011
4/26/2011
7/26/2011
10/25/2011
2/9/2012
4/26/2012
7/26/2012
10/25/2012
2/19/2013
5/2/2013
7/25/2013
10/24/2013
2/5/2014
4/24/2014
7/24/2014
10/23/2014
2/5/2015
4/28/2015
7/23/2015
10/27/2015
2/11/2016
04/27/2016
07/28/2016
10/20/2016
02/02/2017
04/26/2017
