MSCC
LATEST_ANNOUNCEMENT_DT
4/24/1996
7/24/1996
11/22/1996
1/23/1997
4/29/1997
7/24/1997
11/25/1997
1/21/1998
4/23/1998
7/23/1998
11/23/1998
1/28/1999
4/29/1999
7/29/1999
11/23/1999
1/25/2000
4/24/2000
7/25/2000
11/29/2000
1/23/2001
4/24/2001
7/24/2001
11/28/2001
1/24/2002
4/25/2002
7/25/2002
11/21/2002
1/23/2003
4/24/2003
7/24/2003
11/20/2003
1/22/2004
4/22/2004
7/22/2004
11/18/2004
1/27/2005
4/28/2005
7/28/2005
12/16/2005
1/27/2006
4/27/2006
7/27/2006
11/16/2006
1/25/2007
4/26/2007
7/26/2007
11/15/2007
1/24/2008
4/24/2008
7/24/2008
11/13/2008
1/22/2009
4/23/2009
7/23/2009
11/12/2009
1/21/2010
4/22/2010
7/22/2010
11/11/2010
1/21/2011
4/28/2011
7/28/2011
11/10/2011
1/26/2012
4/25/2012
7/26/2012
11/8/2012
1/24/2013
4/25/2013
7/25/2013
11/7/2013
1/23/2014
4/24/2014
7/24/2014
11/6/2014
1/22/2015
4/23/2015
7/23/2015
11/5/2015
1/28/2016
04/28/2016
07/28/2016
11/10/2016
01/26/2017
04/27/2017
