FRTZ
LATEST_ANNOUNCEMENT_DT
4/2/1996
7/24/1996
10/9/1996
1/7/1997
4/9/1997
7/14/1997
9/29/1997
12/22/1997
3/30/1998
6/30/1998
9/28/1998
12/22/1998
3/26/1999
6/29/1999
9/27/1999
1/6/2000
3/30/2000
6/29/2000
9/29/2000
1/15/2001
3/30/2001
