RPM
LATEST_ANNOUNCEMENT_DT
4/14/1993
7/26/1993
10/8/1993
1/14/1994
4/14/1994
7/25/1994
10/10/1994
1/12/1995
4/12/1995
7/24/1995
10/12/1995
1/16/1996
4/14/1996
7/21/1996
10/15/1996
1/14/1997
4/14/1997
7/21/1997
10/15/1997
1/14/1998
4/14/1998
7/20/1998
10/9/1998
1/14/1999
4/14/1999
8/9/1999
10/8/1999
1/14/2000
4/13/2000
7/24/2000
10/10/2000
1/16/2001
4/16/2001
7/27/2001
10/4/2001
1/8/2002
4/4/2002
7/25/2002
10/8/2002
1/9/2003
4/14/2003
7/28/2003
10/8/2003
1/8/2004
4/7/2004
7/26/2004
10/6/2004
1/6/2005
4/7/2005
7/25/2005
10/6/2005
1/5/2006
4/6/2006
7/24/2006
10/4/2006
1/4/2007
4/5/2007
7/23/2007
10/3/2007
1/8/2008
4/3/2008
7/21/2008
10/9/2008
1/8/2009
4/8/2009
7/27/2009
10/5/2009
1/6/2010
4/8/2010
7/26/2010
10/6/2010
1/6/2011
4/7/2011
7/25/2011
10/5/2011
1/5/2012
4/5/2012
7/23/2012
10/3/2012
1/8/2013
4/4/2013
7/22/2013
10/9/2013
1/8/2014
4/3/2014
7/28/2014
10/8/2014
1/7/2015
4/8/2015
7/27/2015
10/07/2015
01/06/2016
04/06/2016
07/28/2016
10/05/2016
01/05/2017
04/05/2017
