ESIO
LATEST_ANNOUNCEMENT_DT
3/18/1996
7/8/1996
9/16/1996
12/16/1996
3/17/1997
7/7/1997
9/16/1997
12/15/1997
3/16/1998
7/6/1998
9/17/1998
12/17/1998
3/18/1999
7/12/1999
9/16/1999
12/16/1999
3/15/2000
7/11/2000
9/18/2000
12/18/2000
3/19/2001
7/16/2001
9/17/2001
12/17/2001
3/18/2002
7/15/2002
9/17/2002
12/18/2002
3/20/2003
8/11/2003
10/9/2003
1/8/2004
4/6/2004
6/29/2004
9/23/2004
12/22/2004
3/22/2005
6/28/2005
9/22/2005
12/21/2005
3/22/2006
7/13/2006
9/28/2006
1/4/2007
4/10/2007
7/12/2007
10/24/2007
1/24/2008
5/8/2008
7/24/2008
10/21/2008
1/29/2009
5/12/2009
7/23/2009
10/21/2009
1/27/2010
5/11/2010
8/12/2010
10/28/2010
1/27/2011
5/10/2011
7/26/2011
10/26/2011
1/26/2012
5/10/2012
7/25/2012
10/25/2012
1/31/2013
5/7/2013
8/6/2013
10/31/2013
2/4/2014
5/13/2014
7/31/2014
10/30/2014
1/28/2015
5/12/2015
7/29/2015
10/28/2015
2/2/2016
05/10/2016
08/02/2016
11/01/2016
02/01/2017
05/09/2017
