XTO
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/25/1996
10/24/1996
2/19/1997
4/24/1997
7/24/1997
10/20/1997
2/18/1998
4/17/1998
7/23/1998
10/22/1998
2/17/1999
4/22/1999
7/22/1999
10/28/1999
2/3/2000
4/27/2000
7/25/2000
10/25/2000
2/14/2001
4/25/2001
7/26/2001
10/25/2001
2/20/2002
4/25/2002
7/23/2002
10/22/2002
2/19/2003
4/22/2003
7/22/2003
10/21/2003
2/11/2004
4/20/2004
7/20/2004
10/20/2004
2/9/2005
4/20/2005
7/19/2005
10/20/2005
2/8/2006
4/20/2006
7/25/2006
10/24/2006
2/13/2007
4/25/2007
7/24/2007
10/23/2007
2/12/2008
4/23/2008
7/22/2008
11/5/2008
2/19/2009
5/6/2009
8/5/2009
11/4/2009
2/17/2010
5/5/2010
