SCSC
LATEST_ANNOUNCEMENT_DT
4/24/1996
8/15/1996
10/24/1996
1/23/1997
4/28/1997
8/18/1997
10/27/1997
1/29/1998
4/24/1998
8/13/1998
10/29/1998
1/28/1999
4/29/1999
8/12/1999
10/28/1999
1/27/2000
4/24/2000
8/17/2000
10/26/2000
1/25/2001
4/26/2001
8/16/2001
10/25/2001
2/14/2002
4/25/2002
8/15/2002
10/24/2002
2/11/2003
4/24/2003
8/14/2003
10/23/2003
1/22/2004
4/22/2004
8/12/2004
10/28/2004
1/27/2005
4/28/2005
8/18/2005
10/27/2005
1/26/2006
4/27/2006
8/17/2006
10/26/2006
6/18/2007
6/18/2007
8/23/2007
10/25/2007
1/24/2008
4/24/2008
8/21/2008
10/23/2008
1/22/2009
4/23/2009
8/20/2009
10/22/2009
1/28/2010
4/22/2010
8/19/2010
10/28/2010
1/27/2011
4/28/2011
8/18/2011
10/27/2011
1/26/2012
4/26/2012
8/16/2012
10/25/2012
1/24/2013
4/25/2013
8/22/2013
10/24/2013
1/30/2014
5/1/2014
8/21/2014
10/30/2014
1/29/2015
4/30/2015
8/20/2015
10/29/2015
2/9/2016
05/10/2016
08/29/2016
11/07/2016
02/07/2017
05/09/2017
