STMP
LATEST_ANNOUNCEMENT_DT
3/31/1999
7/21/1999
10/28/1999
1/27/2000
4/10/2000
7/13/2000
11/14/2000
2/22/2001
4/17/2001
7/12/2001
10/24/2001
2/12/2002
4/25/2002
7/24/2002
10/24/2002
2/12/2003
4/23/2003
7/24/2003
10/29/2003
1/28/2004
4/21/2004
7/22/2004
10/21/2004
2/17/2005
4/28/2005
7/21/2005
10/19/2005
2/8/2006
4/25/2006
7/25/2006
10/19/2006
2/15/2007
4/19/2007
7/26/2007
10/25/2007
2/13/2008
4/23/2008
7/23/2008
10/23/2008
2/12/2009
4/23/2009
7/30/2009
10/22/2009
2/11/2010
4/29/2010
7/29/2010
10/28/2010
2/10/2011
4/28/2011
7/28/2011
10/27/2011
2/9/2012
4/25/2012
7/25/2012
10/25/2012
2/13/2013
4/24/2013
7/31/2013
10/23/2013
2/13/2014
4/30/2014
7/30/2014
11/5/2014
2/11/2015
5/7/2015
8/6/2015
11/5/2015
2/25/2016
05/09/2016
07/28/2016
11/03/2016
02/23/2017
05/08/2017
