MINI
LATEST_ANNOUNCEMENT_DT
5/15/1996
8/13/1996
11/12/1996
3/31/1997
5/12/1997
8/5/1997
10/28/1997
2/26/1998
5/4/1998
7/27/1998
10/27/1998
2/16/1999
5/17/1999
7/27/1999
10/12/1999
1/31/2000
4/24/2000
7/26/2000
11/1/2000
1/31/2001
4/25/2001
7/18/2001
10/22/2001
2/4/2002
5/6/2002
7/24/2002
11/13/2002
2/6/2003
5/6/2003
7/24/2003
10/29/2003
2/26/2004
5/4/2004
7/28/2004
11/4/2004
2/24/2005
5/4/2005
7/28/2005
11/2/2005
2/23/2006
5/4/2006
7/27/2006
10/31/2006
2/22/2007
5/3/2007
8/7/2007
11/1/2007
2/22/2008
5/8/2008
8/7/2008
11/3/2008
2/26/2009
5/6/2009
8/5/2009
11/4/2009
2/23/2010
5/5/2010
8/5/2010
11/4/2010
2/28/2011
5/5/2011
8/4/2011
11/3/2011
2/24/2012
5/4/2012
8/9/2012
11/7/2012
2/22/2013
5/6/2013
8/9/2013
11/8/2013
2/14/2014
4/30/2014
7/30/2014
10/23/2014
2/12/2015
4/30/2015
7/23/2015
10/22/2015
2/5/2016
04/28/2016
07/28/2016
10/25/2016
02/02/2017
04/27/2017
