TRLG
LATEST_ANNOUNCEMENT_DT
11/19/2003
5/18/2004
8/16/2004
11/12/2004
2/28/2005
4/26/2005
7/28/2005
11/10/2005
3/16/2006
5/3/2006
8/3/2006
11/7/2006
3/15/2007
5/8/2007
8/7/2007
11/7/2007
4/29/2008
5/8/2008
8/6/2008
11/6/2008
2/25/2009
5/5/2009
8/4/2009
11/3/2009
2/24/2010
5/4/2010
8/3/2010
11/3/2010
2/24/2011
4/28/2011
7/28/2011
11/1/2011
2/9/2012
5/1/2012
7/31/2012
11/5/2012
2/6/2013
5/10/2013
7/29/2013
