CHG
LATEST_ANNOUNCEMENT_DT
4/19/1996
7/19/1996
10/18/1996
1/23/1997
4/18/1997
7/18/1997
10/17/1997
1/23/1998
8/5/1998
11/6/1998
2/1/1999
4/20/1999
7/20/1999
10/20/1999
2/4/2000
5/12/2000
7/24/2000
10/20/2000
1/26/2001
4/23/2001
7/23/2001
10/29/2001
2/1/2002
4/24/2002
7/22/2002
10/18/2002
2/3/2003
4/21/2003
7/21/2003
11/12/2003
1/30/2004
4/21/2004
7/21/2004
10/21/2004
2/11/2005
4/20/2005
7/20/2005
10/27/2005
2/13/2006
4/21/2006
7/25/2006
10/30/2006
2/13/2007
4/27/2007
7/30/2007
10/29/2007
2/13/2008
4/28/2008
7/28/2008
10/27/2008
2/11/2009
4/22/2009
7/30/2009
10/26/2009
2/11/2010
4/29/2010
7/30/2010
10/28/2010
2/10/2011
4/28/2011
7/29/2011
10/27/2011
2/16/2012
4/26/2012
8/3/2012
11/9/2012
2/25/2013
5/8/2013
8/19/2015
8/19/2015
11/23/2015
2/19/2016
