SNTS
LATEST_ANNOUNCEMENT_DT
5/13/2004
8/11/2004
11/9/2004
3/22/2005
5/12/2005
8/15/2005
11/7/2005
3/6/2006
5/4/2006
8/8/2006
11/7/2006
3/5/2007
5/1/2007
8/6/2007
11/1/2007
3/3/2008
5/7/2008
8/4/2008
11/3/2008
3/5/2009
5/6/2009
8/3/2009
11/4/2009
3/3/2010
5/6/2010
8/2/2010
11/8/2010
3/3/2011
5/4/2011
8/3/2011
11/7/2011
3/5/2012
5/8/2012
8/7/2012
11/7/2012
3/4/2013
5/6/2013
8/6/2013
11/7/2013
