HTLD
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/18/1996
10/17/1996
1/27/1997
4/17/1997
7/17/1997
10/16/1997
1/22/1998
4/22/1998
7/17/1998
10/15/1998
1/26/1999
4/15/1999
7/15/1999
10/14/1999
1/24/2000
4/18/2000
7/18/2000
10/18/2000
1/23/2001
4/17/2001
7/17/2001
10/16/2001
1/14/2002
4/18/2002
7/17/2002
10/16/2002
1/22/2003
4/17/2003
7/16/2003
10/21/2003
1/23/2004
4/15/2004
7/22/2004
10/18/2004
1/18/2005
4/14/2005
7/18/2005
10/20/2005
1/18/2006
4/17/2006
7/18/2006
10/18/2006
1/25/2007
4/19/2007
7/19/2007
10/23/2007
1/24/2008
4/22/2008
7/22/2008
10/20/2008
1/22/2009
4/15/2009
7/14/2009
10/20/2009
1/27/2010
4/19/2010
7/19/2010
10/20/2010
1/20/2011
4/20/2011
7/19/2011
10/25/2011
1/20/2012
4/17/2012
7/19/2012
10/11/2012
1/23/2013
4/16/2013
7/19/2013
10/16/2013
2/4/2014
4/23/2014
7/22/2014
10/24/2014
2/3/2015
4/22/2015
7/28/2015
10/27/2015
1/26/2016
04/27/2016
07/26/2016
10/25/2016
01/24/2017
04/25/2017
