CMC
LATEST_ANNOUNCEMENT_DT
3/19/1996
6/18/1996
10/17/1996
12/18/1996
3/19/1997
6/18/1997
10/16/1997
12/17/1997
3/17/1998
6/17/1998
10/15/1998
12/14/1998
3/17/1999
6/16/1999
10/14/1999
12/14/1999
3/15/2000
6/15/2000
10/16/2000
12/18/2000
3/15/2001
6/18/2001
10/15/2001
12/18/2001
3/18/2002
6/18/2002
10/15/2002
12/18/2002
3/18/2003
6/17/2003
10/14/2003
12/17/2003
3/23/2004
6/22/2004
10/19/2004
12/20/2004
3/22/2005
6/21/2005
10/25/2005
12/21/2005
3/21/2006
6/20/2006
10/24/2006
12/21/2006
3/20/2007
6/20/2007
10/30/2007
12/19/2007
3/25/2008
6/18/2008
10/30/2008
12/17/2008
3/24/2009
6/23/2009
10/30/2009
12/22/2009
3/24/2010
6/22/2010
10/29/2010
12/21/2010
3/22/2011
6/21/2011
10/28/2011
1/6/2012
3/28/2012
6/27/2012
10/24/2012
1/7/2013
3/28/2013
6/27/2013
10/23/2013
1/7/2014
3/27/2014
6/27/2014
10/29/2014
1/6/2015
3/26/2015
6/25/2015
10/28/2015
1/5/2016
3/24/2016
06/23/2016
10/27/2016
01/09/2017
03/23/2017
