CLFY
LATEST_ANNOUNCEMENT_DT
4/16/1996
7/16/1996
10/15/1996
1/14/1997
4/15/1997
7/16/1997
10/21/1997
1/20/1998
4/21/1998
7/21/1998
10/21/1998
1/26/1999
4/21/1999
7/22/1999
10/21/1999
1/24/2000
