CORE
LATEST_ANNOUNCEMENT_DT
11/30/2005
4/14/2006
5/19/2006
8/14/2006
11/10/2006
3/16/2007
5/10/2007
8/8/2007
11/9/2007
3/14/2008
5/12/2008
8/7/2008
11/10/2008
3/13/2009
5/8/2009
8/6/2009
11/6/2009
3/12/2010
5/6/2010
8/6/2010
11/8/2010
3/15/2011
5/9/2011
8/8/2011
11/8/2011
3/8/2012
5/8/2012
8/8/2012
11/8/2012
3/14/2013
5/7/2013
8/7/2013
11/12/2013
3/3/2014
5/8/2014
8/7/2014
11/6/2014
3/2/2015
5/7/2015
8/6/2015
11/5/2015
2/25/2016
05/10/2016
08/09/2016
11/07/2016
03/01/2017
05/09/2017
