FINB
LATEST_ANNOUNCEMENT_DT
4/15/1996
7/16/1996
10/16/1996
1/22/1997
4/15/1997
7/17/1997
10/16/1997
1/20/1998
4/16/1998
7/16/1998
10/15/1998
1/20/1999
4/14/1999
7/14/1999
10/14/1999
1/18/2000
4/17/2000
7/17/2000
10/17/2000
1/16/2001
4/17/2001
7/16/2001
10/15/2001
1/15/2002
4/15/2002
7/16/2002
10/16/2002
1/23/2003
4/15/2003
7/16/2003
10/14/2003
1/21/2004
4/20/2004
7/21/2004
10/28/2004
1/19/2005
4/19/2005
7/19/2005
10/19/2005
1/18/2006
4/18/2006
7/19/2006
10/18/2006
1/17/2007
4/17/2007
8/7/2007
11/2/2007
12/31/2007
