CRL
LATEST_ANNOUNCEMENT_DT
3/25/2000
8/2/2000
11/1/2000
2/14/2001
5/3/2001
8/2/2001
10/31/2001
2/6/2002
5/1/2002
7/30/2002
10/29/2002
2/3/2003
4/30/2003
7/29/2003
10/29/2003
2/10/2004
4/28/2004
7/28/2004
10/28/2004
2/14/2005
5/3/2005
7/28/2005
10/27/2005
2/8/2006
5/10/2006
8/8/2006
11/6/2006
2/12/2007
5/8/2007
8/7/2007
11/5/2007
2/11/2008
5/6/2008
8/5/2008
11/5/2008
2/9/2009
5/5/2009
8/4/2009
11/3/2009
2/8/2010
4/26/2010
8/2/2010
11/3/2010
2/8/2011
5/3/2011
8/2/2011
11/1/2011
2/13/2012
5/2/2012
8/7/2012
10/30/2012
2/13/2013
5/1/2013
7/31/2013
10/29/2013
2/11/2014
4/30/2014
8/6/2014
10/29/2014
2/10/2015
4/29/2015
7/30/2015
11/04/2015
02/10/2016
05/04/2016
08/03/2016
11/02/2016
02/14/2017
05/03/2017
