BEIQ
LATEST_ANNOUNCEMENT_DT
12/9/1997
1/27/1998
5/6/1998
7/22/1998
11/17/1998
1/27/1999
4/27/1999
7/29/1999
11/10/1999
2/1/2000
4/26/2000
7/24/2000
10/31/2000
1/23/2001
4/19/2001
7/24/2001
10/30/2001
1/24/2002
4/24/2002
7/25/2002
10/31/2002
1/27/2003
4/23/2003
7/24/2003
10/30/2003
1/29/2004
4/28/2004
7/29/2004
11/10/2004
2/2/2005
5/3/2005
8/5/2005
