PTEXQ
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/23/1996
10/22/1996
2/7/1997
4/24/1997
7/23/1997
10/21/1997
2/10/1998
4/28/1998
7/29/1998
10/29/1998
2/9/1999
5/3/1999
8/4/1999
11/1/1999
2/15/2000
5/1/2000
7/27/2000
10/26/2000
3/30/2001
5/14/2001
8/14/2001
11/13/2001
3/28/2002
5/14/2002
