IGTE
LATEST_ANNOUNCEMENT_DT
2/18/1997
4/29/1997
7/29/1997
10/28/1997
2/4/1998
4/22/1998
7/29/1998
10/28/1998
2/8/1999
5/5/1999
7/26/1999
10/27/1999
1/26/2000
5/1/2000
8/10/2000
11/7/2000
2/15/2001
5/10/2001
8/9/2001
11/8/2001
2/7/2002
5/14/2002
8/7/2002
11/5/2002
2/6/2003
5/8/2003
7/31/2003
11/14/2003
2/5/2004
5/6/2004
8/5/2004
11/4/2004
4/7/2005
5/10/2005
8/11/2005
11/8/2005
3/3/2006
5/4/2006
7/27/2006
10/26/2006
2/26/2007
4/26/2007
7/26/2007
10/24/2007
3/10/2008
4/21/2008
7/17/2008
10/17/2008
1/21/2009
4/21/2009
7/21/2009
10/20/2009
1/20/2010
4/14/2010
7/14/2010
10/13/2010
1/19/2011
5/5/2011
8/5/2011
10/18/2011
1/25/2012
4/13/2012
7/13/2012
10/12/2012
1/17/2013
4/11/2013
7/17/2013
10/10/2013
1/16/2014
4/10/2014
7/16/2014
10/15/2014
1/20/2015
5/4/2015
