0760047D
LATEST_ANNOUNCEMENT_DT
4/24/1996
7/25/1996
4/28/1997
7/24/1997
10/23/1997
1/26/1998
4/23/1998
7/27/1998
10/21/1998
1/25/1999
4/22/1999
7/26/1999
10/25/1999
1/20/2000
4/25/2000
7/25/2000
10/24/2000
1/24/2001
5/15/2001
7/24/2001
