MWYGQ
LATEST_ANNOUNCEMENT_DT
11/6/1996
1/30/1997
4/24/1997
8/20/1997
10/22/1997
1/22/1998
4/23/1998
8/19/1998
10/22/1998
1/20/1999
4/22/1999
8/25/1999
4/30/2002
7/31/2002
10/29/2002
2/20/2003
4/29/2003
7/29/2003
10/30/2003
2/25/2004
4/28/2004
7/28/2004
11/8/2004
2/28/2005
5/9/2005
8/4/2005
11/7/2005
2/23/2006
5/3/2006
8/3/2006
11/2/2006
2/22/2007
5/3/2007
8/2/2007
11/1/2007
3/6/2008
5/5/2008
8/4/2008
11/10/2008
4/6/2009
