SMP
LATEST_ANNOUNCEMENT_DT
4/24/1996
7/23/1996
10/22/1996
3/6/1997
4/21/1997
7/18/1997
10/17/1997
3/11/1998
4/24/1998
7/21/1998
10/22/1998
3/3/1999
4/21/1999
7/14/1999
10/22/1999
3/6/2000
4/17/2000
7/20/2000
10/19/2000
3/15/2001
5/15/2001
7/24/2001
10/22/2001
3/7/2002
4/25/2002
7/18/2002
10/24/2002
3/6/2003
4/24/2003
7/24/2003
10/30/2003
3/8/2004
4/26/2004
7/26/2004
11/15/2004
3/31/2005
5/10/2005
8/8/2005
11/1/2005
3/15/2006
5/5/2006
8/7/2006
10/30/2006
3/9/2007
5/9/2007
8/6/2007
10/30/2007
3/11/2008
5/9/2008
8/4/2008
10/30/2008
3/6/2009
5/6/2009
8/5/2009
10/27/2009
3/5/2010
5/5/2010
8/2/2010
11/2/2010
3/3/2011
5/4/2011
7/27/2011
11/1/2011
3/6/2012
5/3/2012
8/6/2012
10/30/2012
3/4/2013
5/3/2013
8/7/2013
10/31/2013
2/24/2014
5/1/2014
7/30/2014
10/30/2014
2/25/2015
4/30/2015
7/30/2015
10/29/2015
2/26/2016
05/05/2016
08/03/2016
10/27/2016
02/24/2017
05/03/2017
