MED
LATEST_ANNOUNCEMENT_DT
8/14/1996
11/15/1996
3/31/1997
5/29/1997
8/29/1997
11/17/1997
4/15/1998
5/21/1998
8/12/1998
11/10/1998
4/15/1999
5/21/1999
6/30/1999
9/30/1999
4/10/2000
5/15/2000
6/30/2000
10/30/2000
3/29/2001
5/14/2001
7/26/2001
10/31/2001
3/8/2002
5/2/2002
7/25/2002
11/4/2002
3/4/2003
5/5/2003
8/14/2003
11/13/2003
3/15/2004
5/12/2004
8/16/2004
11/15/2004
3/14/2005
5/10/2005
8/9/2005
11/9/2005
3/15/2006
5/15/2006
8/14/2006
11/14/2006
3/16/2007
5/10/2007
8/9/2007
11/8/2007
3/17/2008
5/12/2008
8/7/2008
11/6/2008
3/12/2009
4/29/2009
7/30/2009
10/29/2009
3/4/2010
5/5/2010
8/5/2010
11/4/2010
3/31/2011
5/9/2011
8/4/2011
11/3/2011
3/13/2012
5/8/2012
7/26/2012
11/5/2012
3/7/2013
5/8/2013
8/6/2013
11/5/2013
3/10/2014
5/5/2014
8/7/2014
11/5/2014
3/12/2015
5/7/2015
8/5/2015
11/5/2015
3/10/2016
05/04/2016
08/03/2016
11/03/2016
03/09/2017
