UGI
LATEST_ANNOUNCEMENT_DT
5/2/1996
8/1/1996
11/21/1996
1/23/1997
4/30/1997
7/30/1997
11/20/1997
1/28/1998
4/29/1998
7/29/1998
11/19/1998
1/27/1999
4/28/1999
7/28/1999
11/17/1999
1/26/2000
4/26/2000
7/27/2000
11/15/2000
1/31/2001
4/25/2001
8/1/2001
11/20/2001
1/31/2002
5/1/2002
7/31/2002
11/20/2002
1/29/2003
4/30/2003
7/30/2003
11/19/2003
1/28/2004
4/28/2004
7/28/2004
11/17/2004
1/26/2005
4/26/2005
7/27/2005
11/16/2005
2/1/2006
4/26/2006
7/26/2006
11/15/2006
1/31/2007
4/25/2007
8/1/2007
11/14/2007
1/30/2008
4/30/2008
7/29/2008
11/11/2008
1/28/2009
4/30/2009
7/29/2009
11/11/2009
1/27/2010
4/27/2010
7/27/2010
11/10/2010
1/26/2011
5/2/2011
7/27/2011
11/8/2011
1/25/2012
4/26/2012
8/7/2012
11/8/2012
1/31/2013
4/30/2013
7/30/2013
11/18/2013
2/3/2014
5/7/2014
7/29/2014
11/12/2014
2/4/2015
5/4/2015
8/3/2015
11/9/2015
2/1/2016
05/02/2016
08/01/2016
11/09/2016
02/01/2017
05/01/2017
