APOG
LATEST_ANNOUNCEMENT_DT
4/15/1996
6/18/1996
9/19/1996
12/19/1996
4/10/1997
6/17/1997
9/18/1997
12/17/1997
4/8/1998
6/23/1998
9/17/1998
12/17/1998
4/13/1999
6/22/1999
9/16/1999
12/16/1999
4/14/2000
6/20/2000
9/21/2000
12/21/2000
4/4/2001
6/18/2001
9/19/2001
12/19/2001
5/9/2003
6/17/2002
9/18/2002
12/18/2002
4/2/2003
6/16/2003
9/17/2003
12/17/2003
4/7/2004
6/21/2004
9/15/2004
12/15/2004
4/6/2005
6/20/2005
9/14/2005
12/14/2005
4/5/2006
6/27/2006
9/20/2006
12/20/2006
4/11/2007
6/26/2007
9/19/2007
12/19/2007
4/9/2008
6/24/2008
9/17/2008
12/17/2008
4/6/2009
6/23/2009
9/16/2009
12/17/2009
4/7/2010
6/22/2010
9/15/2010
12/15/2010
4/6/2011
6/21/2011
9/14/2011
12/14/2011
4/11/2012
6/20/2012
9/19/2012
12/18/2012
4/10/2013
6/25/2013
9/18/2013
12/18/2013
4/9/2014
6/24/2014
9/16/2014
12/17/2014
4/8/2015
6/24/2015
9/16/2015
12/16/2015
4/6/2016
06/22/2016
09/14/2016
12/14/2016
04/12/2017
