BCPC
LATEST_ANNOUNCEMENT_DT
4/29/1996
7/22/1996
10/21/1996
2/3/1997
4/22/1997
7/21/1997
10/17/1997
1/27/1998
4/23/1998
7/23/1998
11/11/1998
2/5/1999
4/28/1999
7/22/1999
10/28/1999
2/7/2000
4/25/2000
7/24/2000
10/23/2000
2/12/2001
5/1/2001
8/8/2001
10/31/2001
2/19/2002
4/30/2002
7/24/2002
10/22/2002
2/12/2003
4/29/2003
7/28/2003
10/28/2003
2/12/2004
4/27/2004
7/27/2004
10/26/2004
2/15/2005
4/28/2005
7/28/2005
10/26/2005
2/17/2006
5/1/2006
8/1/2006
10/31/2006
2/23/2007
5/9/2007
8/1/2007
11/9/2007
3/4/2008
5/8/2008
7/31/2008
10/30/2008
2/24/2009
5/1/2009
7/30/2009
10/6/2009
2/25/2010
5/4/2010
8/3/2010
10/29/2010
2/28/2011
5/3/2011
8/3/2011
11/2/2011
2/27/2012
5/2/2012
8/1/2012
11/2/2012
2/21/2013
5/3/2013
7/31/2013
11/5/2013
2/27/2014
5/5/2014
8/8/2014
11/10/2014
2/24/2015
5/5/2015
8/4/2015
11/3/2015
2/29/2016
5/10/2016
8/5/2016
11/04/2016
03/06/2017
