8251517Q
LATEST_ANNOUNCEMENT_DT
6/28/1999
7/26/1999
10/25/1999
2/10/2000
4/25/2000
7/31/2000
11/7/2000
1/29/2001
5/1/2001
7/30/2001
10/30/2001
2/25/2002
5/8/2002
7/30/2002
11/6/2002
2/5/2003
4/30/2003
7/29/2003
10/28/2003
2/4/2004
5/4/2004
7/27/2004
10/27/2004
2/3/2005
5/3/2005
7/27/2005
10/27/2005
2/14/2006
4/25/2006
8/2/2006
10/26/2006
2/6/2007
5/2/2007
8/2/2007
11/1/2007
2/5/2008
5/1/2008
8/4/2008
10/30/2008
2/5/2009
5/7/2009
7/22/2009
