THO
LATEST_ANNOUNCEMENT_DT
5/29/1996
9/11/1996
12/2/1996
3/5/1997
5/19/1997
9/25/1997
11/17/1997
2/17/1998
5/26/1998
10/26/1998
11/18/1998
2/16/1999
5/13/1999
9/16/1999
11/18/1999
2/22/2000
5/22/2000
9/26/2000
11/16/2000
2/26/2001
5/29/2001
9/24/2001
12/3/2001
2/25/2002
5/22/2002
9/30/2002
11/25/2002
2/27/2003
6/2/2003
10/1/2003
12/1/2003
3/8/2004
5/24/2004
10/4/2004
11/29/2004
3/1/2005
6/2/2005
10/12/2005
11/28/2005
2/28/2006
5/23/2006
9/18/2006
11/27/2006
6/19/2007
7/3/2007
10/1/2007
11/26/2007
3/10/2008
6/3/2008
9/29/2008
12/1/2008
3/9/2009
6/9/2009
9/29/2009
11/30/2009
3/8/2010
6/10/2010
9/28/2010
11/29/2010
3/10/2011
6/8/2011
9/28/2011
11/28/2011
3/8/2012
6/7/2012
9/26/2012
11/26/2012
3/7/2013
6/6/2013
9/26/2013
12/2/2013
3/6/2014
6/5/2014
9/25/2014
12/1/2014
3/5/2015
6/4/2015
9/21/2015
11/30/2015
3/7/2016
06/06/2016
09/26/2016
11/28/2016
03/06/2017
06/05/2017
