FTERQ
LATEST_ANNOUNCEMENT_DT
5/7/1996
8/13/1996
11/5/1996
2/19/1997
5/6/1997
8/5/1997
11/11/1997
2/17/1998
5/12/1998
8/13/1998
11/10/1998
2/10/1999
5/5/1999
8/4/1999
11/15/1999
2/23/2000
5/11/2000
8/14/2000
11/14/2000
4/27/2001
