EXP
LATEST_ANNOUNCEMENT_DT
4/24/1996
7/18/1996
10/22/1996
1/23/1997
4/23/1997
7/17/1997
10/20/1997
1/21/1998
4/23/1998
7/16/1998
10/22/1998
1/25/1999
4/27/1999
7/15/1999
10/26/1999
1/25/2000
4/24/2000
7/20/2000
10/24/2000
1/22/2001
4/23/2001
7/17/2001
10/22/2001
1/22/2002
4/22/2002
7/16/2002
10/21/2002
1/21/2003
4/21/2003
7/21/2003
10/20/2003
1/19/2004
4/27/2004
7/26/2004
10/28/2004
1/26/2005
5/5/2005
8/2/2005
11/1/2005
1/25/2006
5/2/2006
7/24/2006
10/31/2006
1/31/2007
5/1/2007
7/30/2007
10/22/2007
1/30/2008
5/6/2008
7/21/2008
10/27/2008
2/5/2009
4/23/2009
7/23/2009
10/22/2009
1/27/2010
4/26/2010
7/22/2010
10/28/2010
2/1/2011
5/5/2011
7/28/2011
10/27/2011
2/2/2012
5/16/2012
8/2/2012
10/29/2012
2/6/2013
5/14/2013
8/7/2013
10/30/2013
2/4/2014
5/14/2014
7/22/2014
10/28/2014
2/3/2015
5/14/2015
8/3/2015
10/26/2015
1/28/2016
05/18/2016
07/25/2016
10/24/2016
01/24/2017
05/17/2017
