UCBI
LATEST_ANNOUNCEMENT_DT
12/31/1996
12/31/1997
12/31/1998
12/31/1999
5/15/2000
8/14/2000
11/16/2000
4/2/2001
4/19/2001
8/14/2001
10/23/2001
1/22/2002
4/23/2002
7/23/2002
10/22/2002
1/28/2003
4/22/2003
7/22/2003
10/28/2003
1/27/2004
4/20/2004
7/27/2004
10/26/2004
1/25/2005
4/19/2005
7/26/2005
10/25/2005
1/24/2006
4/18/2006
7/25/2006
10/24/2006
1/23/2007
4/17/2007
7/24/2007
10/23/2007
1/23/2008
4/24/2008
7/24/2008
10/23/2008
1/23/2009
4/23/2009
7/24/2009
10/23/2009
1/29/2010
4/22/2010
7/23/2010
10/28/2010
1/28/2011
4/28/2011
7/28/2011
10/27/2011
1/25/2012
4/26/2012
7/26/2012
10/25/2012
1/24/2013
4/25/2013
7/25/2013
10/24/2013
1/23/2014
4/24/2014
7/24/2014
10/23/2014
1/21/2015
4/22/2015
7/22/2015
10/27/2015
1/20/2016
04/27/2016
07/27/2016
10/26/2016
01/25/2017
04/26/2017
