WSM
LATEST_ANNOUNCEMENT_DT
5/14/1996
8/14/1996
11/11/1996
3/13/1997
5/20/1997
8/19/1997
11/19/1997
3/12/1998
5/19/1998
8/18/1998
11/17/1998
3/17/1999
5/18/1999
8/17/1999
11/16/1999
3/15/2000
5/16/2000
8/15/2000
11/14/2000
3/14/2001
5/15/2001
8/24/2001
11/13/2001
3/11/2002
5/23/2002
8/22/2002
11/19/2002
3/18/2003
5/22/2003
8/21/2003
11/20/2003
3/18/2004
5/25/2004
8/25/2004
11/18/2004
3/22/2005
5/24/2005
8/23/2005
11/17/2005
3/20/2006
5/24/2006
9/8/2006
11/16/2006
3/22/2007
5/30/2007
8/29/2007
11/15/2007
3/27/2008
6/4/2008
8/28/2008
12/4/2008
3/24/2009
6/3/2009
8/26/2009
11/19/2009
3/22/2010
5/20/2010
8/19/2010
11/18/2010
3/15/2011
5/19/2011
8/23/2011
11/17/2011
3/8/2012
5/22/2012
8/21/2012
11/14/2012
3/19/2013
5/23/2013
8/28/2013
11/20/2013
3/12/2014
5/21/2014
8/27/2014
11/19/2014
3/18/2015
5/20/2015
8/26/2015
11/19/2015
3/16/2016
05/25/2016
08/24/2016
11/17/2016
03/15/2017
