HOTT
LATEST_ANNOUNCEMENT_DT
11/21/1996
3/24/1997
5/22/1997
8/18/1997
11/18/1997
3/16/1998
5/18/1998
8/18/1998
11/18/1998
3/18/1999
5/17/1999
8/16/1999
11/15/1999
3/14/2000
5/15/2000
8/14/2000
12/12/2000
5/2/2001
5/24/2001
8/22/2001
11/19/2001
3/4/2002
5/22/2002
8/21/2002
11/20/2002
3/4/2003
5/21/2003
8/20/2003
11/19/2003
3/3/2004
5/19/2004
8/18/2004
11/17/2004
3/16/2005
5/18/2005
8/17/2005
11/16/2005
3/15/2006
5/17/2006
8/16/2006
11/15/2006
3/14/2007
5/23/2007
8/22/2007
11/20/2007
3/12/2008
5/21/2008
8/20/2008
11/19/2008
3/11/2009
5/20/2009
8/19/2009
11/18/2009
3/10/2010
5/19/2010
8/18/2010
11/16/2010
3/7/2011
5/18/2011
8/17/2011
11/16/2011
3/7/2012
5/16/2012
8/15/2012
11/14/2012
3/13/2013
5/28/2013
7/21/2014
