0966576D
LATEST_ANNOUNCEMENT_DT
4/22/1996
9/13/1996
11/6/1996
1/30/1997
4/24/1997
8/20/1997
10/22/1997
1/22/1998
4/23/1998
8/24/1998
10/26/1998
1/25/1999
4/26/1999
8/12/1999
10/25/1999
1/24/2000
4/25/2000
8/10/2000
11/1/2000
1/29/2001
4/26/2001
8/8/2001
10/25/2001
1/31/2002
4/30/2002
8/13/2002
10/24/2002
1/28/2003
4/29/2003
8/12/2003
10/28/2003
2/3/2004
5/5/2004
8/9/2004
10/26/2004
2/1/2005
5/3/2005
8/10/2005
11/1/2005
1/31/2006
5/8/2006
8/9/2006
10/30/2006
2/5/2007
5/3/2007
8/7/2007
11/5/2007
2/6/2008
5/6/2008
8/5/2008
10/27/2008
1/29/2009
4/21/2009
8/3/2009
10/26/2009
1/26/2010
4/26/2010
8/3/2010
11/1/2010
1/25/2011
4/26/2011
8/4/2011
11/7/2011
1/26/2012
4/30/2012
8/6/2012
11/1/2012
2/6/2013
5/6/2013
8/29/2013
12/17/2013
