CBSH
LATEST_ANNOUNCEMENT_DT
4/21/1993
7/15/1993
10/14/1993
1/20/1994
4/14/1994
7/13/1994
10/13/1994
1/19/1995
4/19/1995
7/14/1995
10/19/1995
1/16/1996
4/17/1996
7/17/1996
10/16/1996
1/15/1997
4/16/1997
7/16/1997
10/15/1997
1/14/1998
4/15/1998
7/15/1998
10/14/1998
1/19/1999
4/15/1999
7/14/1999
10/14/1999
1/11/2000
4/12/2000
7/13/2000
10/12/2000
1/11/2001
4/12/2001
7/17/2001
10/16/2001
1/16/2002
4/16/2002
7/10/2002
10/10/2002
1/15/2003
4/15/2003
7/15/2003
10/9/2003
1/14/2004
4/13/2004
7/13/2004
10/13/2004
1/13/2005
4/13/2005
7/13/2005
10/12/2005
1/12/2006
4/12/2006
7/12/2006
10/17/2006
1/16/2007
4/12/2007
7/12/2007
10/16/2007
1/15/2008
4/15/2008
7/15/2008
10/15/2008
1/20/2009
4/14/2009
7/16/2009
10/14/2009
1/14/2010
4/15/2010
7/15/2010
10/14/2010
1/13/2011
4/14/2011
7/14/2011
10/13/2011
1/24/2012
4/12/2012
7/12/2012
10/16/2012
1/15/2013
4/11/2013
7/11/2013
10/15/2013
1/14/2014
4/10/2014
7/15/2014
10/15/2014
1/27/2015
4/13/2015
7/14/2015
10/14/2015
01/20/2016
04/13/2016
07/13/2016
10/14/2016
01/18/2017
04/12/2017
