EXAR
LATEST_ANNOUNCEMENT_DT
5/3/1996
7/24/1996
10/28/1996
1/29/1997
5/1/1997
7/22/1997
10/28/1997
1/20/1998
4/24/1998
7/21/1998
10/22/1998
1/26/1999
4/20/1999
7/21/1999
11/5/1999
1/10/2000
4/26/2000
7/18/2000
10/17/2000
1/16/2001
4/25/2001
7/17/2001
10/18/2001
1/17/2002
4/24/2002
7/16/2002
10/22/2002
1/16/2003
4/23/2003
7/16/2003
10/15/2003
1/15/2004
4/21/2004
7/14/2004
10/19/2004
1/19/2005
4/28/2005
7/19/2005
10/19/2005
1/19/2006
4/27/2006
7/20/2006
10/19/2006
1/23/2007
4/26/2007
7/19/2007
10/31/2007
1/31/2008
5/15/2008
7/31/2008
10/30/2008
1/29/2009
5/14/2009
7/30/2009
10/29/2009
1/28/2010
5/13/2010
7/29/2010
10/28/2010
1/25/2011
5/5/2011
7/26/2011
10/25/2011
2/1/2012
5/3/2012
7/25/2012
10/24/2012
1/23/2013
4/30/2013
7/24/2013
10/29/2013
1/29/2014
5/5/2014
8/6/2014
11/5/2014
2/4/2015
5/12/2015
8/4/2015
11/5/2015
2/3/2016
05/11/2016
08/03/2016
11/02/2016
02/01/2017
05/10/2017
