STE
LATEST_ANNOUNCEMENT_DT
4/29/1997
7/23/1997
10/27/1997
1/29/1998
4/29/1998
7/28/1998
10/27/1998
1/26/1999
4/27/1999
7/29/1999
10/27/1999
1/26/2000
4/26/2000
7/26/2000
10/19/2000
1/25/2001
4/26/2001
7/19/2001
10/18/2001
1/24/2002
4/25/2002
7/23/2002
10/24/2002
1/23/2003
4/24/2003
7/24/2003
10/23/2003
1/22/2004
4/23/2004
7/27/2004
10/27/2004
2/8/2005
5/17/2005
8/9/2005
11/9/2005
1/31/2006
5/10/2006
8/2/2006
11/7/2006
1/31/2007
5/8/2007
7/25/2007
10/30/2007
1/30/2008
5/7/2008
7/30/2008
10/30/2008
1/27/2009
5/7/2009
7/30/2009
11/3/2009
2/2/2010
5/6/2010
8/3/2010
11/3/2010
2/8/2011
5/9/2011
8/2/2011
11/2/2011
2/7/2012
5/8/2012
8/2/2012
10/31/2012
2/6/2013
5/7/2013
8/7/2013
10/30/2013
2/5/2014
5/8/2014
8/5/2014
11/4/2014
2/4/2015
5/7/2015
8/4/2015
10/30/2015
2/9/2016
05/18/2016
08/09/2016
11/02/2016
02/07/2017
05/17/2017
