GNCMA
LATEST_ANNOUNCEMENT_DT
5/15/1996
8/15/1996
11/14/1996
3/31/1997
5/16/1997
8/15/1997
11/12/1997
3/12/1998
5/14/1998
8/4/1998
11/12/1998
3/25/1999
5/13/1999
8/12/1999
11/11/1999
3/17/2000
5/11/2000
8/10/2000
11/9/2000
3/7/2001
5/9/2001
8/8/2001
11/7/2001
3/13/2002
5/8/2002
8/7/2002
10/24/2002
2/26/2003
5/7/2003
7/31/2003
11/5/2003
2/19/2004
5/6/2004
7/28/2004
11/3/2004
2/23/2005
5/10/2005
8/3/2005
11/9/2005
3/1/2006
5/9/2006
8/8/2006
11/2/2006
3/15/2007
5/10/2007
8/1/2007
10/31/2007
3/6/2008
5/7/2008
7/31/2008
11/6/2008
3/11/2009
5/6/2009
8/5/2009
11/4/2009
3/11/2010
5/5/2010
8/4/2010
11/3/2010
3/9/2011
5/4/2011
8/3/2011
11/2/2011
3/9/2012
5/2/2012
8/1/2012
11/7/2012
3/6/2013
5/1/2013
7/31/2013
11/6/2013
3/5/2014
5/7/2014
8/6/2014
11/5/2014
3/4/2015
5/5/2015
8/4/2015
11/4/2015
3/2/2016
8/2/2016
