ICON
LATEST_ANNOUNCEMENT_DT
6/17/1996
9/9/1996
12/12/1996
4/23/1997
5/28/1997
8/14/1997
11/25/1997
4/21/1998
5/28/1998
8/25/1998
12/2/1998
9/22/1999
9/22/1999
9/30/1999
12/16/1999
5/1/2000
6/1/2000
9/13/2000
12/14/2000
5/1/2001
6/14/2001
9/13/2001
11/20/2001
5/1/2002
6/5/2002
9/12/2002
12/4/2002
5/1/2003
6/10/2004
9/14/2004
12/15/2004
3/31/2005
4/28/2005
8/4/2005
11/8/2005
3/8/2006
4/27/2006
7/27/2006
11/1/2006
3/6/2007
5/1/2007
8/7/2007
10/31/2007
2/20/2008
5/1/2008
8/5/2008
11/3/2008
2/24/2009
5/5/2009
8/4/2009
10/27/2009
2/23/2010
4/27/2010
7/27/2010
10/28/2010
2/16/2011
4/27/2011
7/27/2011
10/27/2011
2/22/2012
4/25/2012
7/25/2012
11/1/2012
2/20/2013
4/24/2013
7/24/2013
10/29/2013
2/20/2014
4/30/2014
7/29/2014
10/28/2014
2/26/2015
4/29/2015
8/10/2015
11/9/2015
3/28/2016
05/05/2016
08/04/2016
11/08/2016
02/22/2017
05/04/2017
