TRAD
LATEST_ANNOUNCEMENT_DT
10/27/1997
2/17/1998
7/20/1998
10/29/1998
2/16/1999
4/20/1999
7/20/1999
10/19/1999
2/29/2000
4/20/2000
7/24/2000
11/14/2000
3/15/2001
4/25/2001
7/25/2001
10/24/2001
3/6/2002
4/15/2002
7/16/2002
10/15/2002
2/25/2003
4/15/2003
7/15/2003
10/14/2003
2/10/2004
4/15/2004
7/19/2004
10/14/2004
2/23/2005
4/20/2005
8/5/2005
10/26/2005
2/14/2006
4/25/2006
7/20/2006
10/19/2006
2/15/2007
4/24/2007
7/25/2007
10/23/2007
2/19/2008
4/24/2008
7/24/2008
10/23/2008
2/19/2009
4/23/2009
7/23/2009
10/22/2009
2/11/2010
4/22/2010
7/22/2010
10/21/2010
2/11/2011
4/27/2011
