CSGS
LATEST_ANNOUNCEMENT_DT
4/24/1996
7/24/1996
10/15/1996
1/29/1997
4/22/1997
7/28/1997
10/22/1997
1/27/1998
4/27/1998
7/21/1998
10/19/1998
1/22/1999
4/21/1999
7/21/1999
10/27/1999
1/20/2000
4/25/2000
7/26/2000
10/25/2000
1/24/2001
4/25/2001
7/30/2001
10/29/2001
1/28/2002
4/29/2002
7/29/2002
10/28/2002
1/28/2003
4/29/2003
7/29/2003
10/28/2003
1/27/2004
4/27/2004
7/27/2004
10/25/2004
1/25/2005
4/26/2005
7/26/2005
10/25/2005
1/24/2006
4/25/2006
7/25/2006
10/24/2006
1/23/2007
4/24/2007
7/24/2007
10/23/2007
1/29/2008
4/22/2008
7/22/2008
10/21/2008
1/27/2009
4/28/2009
7/28/2009
10/27/2009
1/26/2010
4/27/2010
7/27/2010
10/26/2010
2/8/2011
5/3/2011
8/2/2011
11/1/2011
2/7/2012
5/1/2012
8/7/2012
10/30/2012
2/5/2013
4/30/2013
8/6/2013
10/29/2013
2/4/2014
5/6/2014
7/31/2014
11/4/2014
2/4/2015
5/5/2015
8/5/2015
11/4/2015
2/3/2016
05/04/2016
08/03/2016
11/02/2016
02/01/2017
05/03/2017
