APN
LATEST_ANNOUNCEMENT_DT
5/1/1996
8/9/1996
11/12/1996
2/19/1997
5/5/1997
8/13/1997
11/12/1997
2/20/1998
5/14/1998
8/11/1998
11/4/1998
2/24/1999
5/5/1999
8/11/1999
11/2/1999
2/22/2000
5/4/2000
8/1/2000
11/9/2000
2/26/2001
5/2/2001
8/2/2001
11/6/2001
2/27/2002
5/2/2002
8/1/2002
11/7/2002
2/27/2003
5/1/2003
7/31/2003
10/30/2003
2/26/2004
5/6/2004
8/5/2004
11/4/2004
3/14/2005
4/28/2005
7/29/2005
11/3/2005
3/9/2006
5/4/2006
8/3/2006
11/2/2006
