MASC
LATEST_ANNOUNCEMENT_DT
4/18/1996
6/20/1996
9/16/1996
12/12/1996
4/30/1997
6/19/1997
9/18/1997
12/19/1997
4/17/1998
6/18/1998
9/15/1998
12/15/1998
4/23/1999
6/17/1999
9/17/1999
12/15/1999
4/24/2000
6/22/2000
9/25/2000
11/30/2000
4/24/2001
6/21/2001
9/20/2001
12/20/2001
4/30/2002
6/20/2002
9/24/2002
1/7/2003
5/6/2003
7/1/2003
10/9/2003
1/13/2004
5/13/2004
7/8/2004
10/8/2004
1/10/2005
6/20/2005
8/17/2005
1/9/2006
1/9/2006
5/19/2006
7/11/2006
10/10/2006
3/7/2007
5/11/2007
7/6/2007
10/10/2007
1/9/2008
5/14/2008
7/9/2008
10/9/2008
1/9/2009
5/14/2009
7/10/2009
10/9/2009
1/11/2010
5/14/2010
7/9/2010
10/7/2010
1/14/2011
4/29/2011
7/11/2011
10/7/2011
1/12/2012
5/4/2012
7/11/2012
10/10/2012
1/14/2013
5/6/2013
7/10/2013
10/10/2013
1/9/2014
