HITK
LATEST_ANNOUNCEMENT_DT
7/23/1996
9/16/1996
12/17/1996
3/17/1997
7/29/1997
9/15/1997
12/10/1997
3/9/1998
7/21/1998
9/14/1998
12/15/1998
3/4/1999
7/26/1999
9/9/1999
12/13/1999
3/14/2000
7/20/2000
9/14/2000
12/14/2000
3/14/2001
7/24/2001
9/17/2001
12/14/2001
3/15/2002
7/23/2002
9/17/2002
12/16/2002
3/14/2003
7/16/2003
9/15/2003
12/11/2003
3/11/2004
7/13/2004
9/8/2004
12/8/2004
3/10/2005
7/13/2005
9/8/2005
12/8/2005
3/9/2006
7/14/2006
9/7/2006
12/7/2006
3/8/2007
7/11/2007
9/7/2007
12/7/2007
3/10/2008
7/11/2008
9/8/2008
12/9/2008
3/11/2009
7/14/2009
9/9/2009
12/9/2009
3/11/2010
7/13/2010
9/8/2010
12/9/2010
3/10/2011
7/7/2011
9/7/2011
12/5/2011
3/8/2012
7/10/2012
9/5/2012
12/6/2012
3/7/2013
7/9/2013
9/9/2013
12/10/2013
3/11/2014
