SGY
LATEST_ANNOUNCEMENT_DT
5/3/1996
8/5/1996
10/25/1996
3/7/1997
4/29/1997
8/5/1997
11/4/1997
3/3/1998
5/4/1998
8/3/1998
11/2/1998
3/2/1999
5/3/1999
8/2/1999
11/1/1999
3/2/2000
5/2/2000
8/2/2000
11/1/2000
2/28/2001
5/2/2001
8/2/2001
11/5/2001
3/4/2002
5/1/2002
8/5/2002
11/11/2002
3/10/2003
5/7/2003
8/4/2003
11/3/2003
3/8/2004
5/5/2004
8/9/2004
11/3/2004
3/1/2005
5/4/2005
8/2/2005
11/8/2005
3/10/2006
5/4/2006
8/2/2006
10/31/2006
2/26/2007
5/8/2007
8/8/2007
11/5/2007
2/26/2008
5/6/2008
8/5/2008
11/4/2008
2/17/2009
5/5/2009
7/30/2009
11/3/2009
2/23/2010
5/4/2010
8/3/2010
11/3/2010
2/23/2011
5/3/2011
8/2/2011
11/1/2011
2/22/2012
5/7/2012
8/1/2012
11/6/2012
2/25/2013
5/6/2013
8/5/2013
11/4/2013
2/24/2014
5/5/2014
8/5/2014
11/3/2014
2/24/2015
5/4/2015
8/5/2015
11/2/2015
2/22/2016
05/09/2016
08/03/2016
