UIL
LATEST_ANNOUNCEMENT_DT
4/22/1996
7/22/1996
10/28/1996
1/27/1997
4/28/1997
7/28/1997
10/28/1997
1/26/1998
4/27/1998
7/27/1998
10/26/1998
2/12/1999
4/26/1999
7/26/1999
10/25/1999
1/24/2000
4/24/2000
7/24/2000
10/23/2000
1/22/2001
4/23/2001
7/23/2001
10/22/2001
1/28/2002
4/22/2002
7/22/2002
10/28/2002
1/27/2003
4/28/2003
7/28/2003
10/24/2003
1/26/2004
4/26/2004
8/6/2004
10/22/2004
2/17/2005
5/3/2005
8/4/2005
11/1/2005
2/17/2006
5/3/2006
8/2/2006
11/3/2006
2/20/2007
5/3/2007
8/2/2007
11/1/2007
2/20/2008
5/6/2008
8/5/2008
11/4/2008
2/18/2009
5/5/2009
8/5/2009
10/30/2009
2/17/2010
5/3/2010
8/4/2010
10/29/2010
2/22/2011
5/3/2011
8/4/2011
11/3/2011
2/22/2012
5/3/2012
8/3/2012
11/5/2012
2/21/2013
5/2/2013
8/6/2013
11/4/2013
2/20/2014
5/7/2014
8/6/2014
11/4/2014
2/25/2015
4/30/2015
8/5/2015
11/2/2015
