CLI
LATEST_ANNOUNCEMENT_DT
2/21/1996
5/9/1996
8/5/1996
10/29/1996
2/20/1997
5/6/1997
8/15/1997
11/10/1997
3/5/1998
5/12/1998
8/6/1998
11/12/1998
2/23/1999
5/4/1999
8/5/1999
11/4/1999
2/23/2000
5/4/2000
8/10/2000
11/7/2000
2/22/2001
5/10/2001
8/9/2001
11/8/2001
2/21/2002
5/7/2002
8/8/2002
11/5/2002
2/25/2003
5/8/2003
8/7/2003
11/6/2003
2/26/2004
5/7/2004
8/5/2004
11/4/2004
3/3/2005
5/5/2005
8/4/2005
11/1/2005
2/23/2006
5/4/2006
8/3/2006
11/2/2006
2/22/2007
5/3/2007
8/2/2007
11/1/2007
2/14/2008
5/1/2008
7/31/2008
10/30/2008
2/12/2009
4/30/2009
7/30/2009
10/29/2009
2/11/2010
4/29/2010
7/29/2010
10/28/2010
2/10/2011
4/28/2011
7/28/2011
10/27/2011
2/9/2012
4/26/2012
7/26/2012
10/25/2012
2/7/2013
4/25/2013
7/25/2013
10/24/2013
3/3/2014
4/24/2014
7/24/2014
10/23/2014
2/19/2015
4/23/2015
7/22/2015
10/28/2015
02/24/2016
04/27/2016
08/02/2016
10/25/2016
02/28/2017
04/26/2017
