LOJN
LATEST_ANNOUNCEMENT_DT
4/18/1996
6/19/1996
9/24/1996
1/6/1997
4/18/1997
6/19/1997
9/23/1997
1/6/1998
4/24/1998
7/7/1998
10/1/1998
1/7/1999
4/22/1999
7/13/1999
10/8/1999
1/6/2000
4/19/2000
7/7/2000
10/5/2000
1/10/2001
5/30/2001
5/14/2002
8/1/2002
11/4/2002
2/21/2003
5/7/2003
8/8/2003
11/10/2003
2/27/2004
5/11/2004
8/3/2004
11/3/2004
3/3/2005
5/4/2005
8/9/2005
11/3/2005
2/21/2006
5/5/2006
8/7/2006
11/2/2006
2/21/2007
5/2/2007
8/1/2007
10/31/2007
2/20/2008
4/30/2008
8/6/2008
11/4/2008
2/18/2009
4/30/2009
8/5/2009
11/4/2009
3/3/2010
5/5/2010
8/4/2010
10/27/2010
2/16/2011
5/3/2011
8/2/2011
11/7/2011
2/21/2012
5/1/2012
8/6/2012
11/1/2012
2/27/2013
5/2/2013
8/6/2013
10/31/2013
2/20/2014
5/1/2014
8/12/2014
10/30/2014
2/12/2015
5/7/2015
8/6/2015
11/6/2015
2/25/2016
