QRSI
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/18/1996
10/17/1996
1/30/1997
4/17/1997
7/23/1997
10/22/1997
2/4/1998
5/7/1998
7/29/1998
10/29/1998
1/28/1999
4/22/1999
7/27/1999
10/28/1999
1/27/2000
4/27/2000
7/25/2000
10/30/2000
2/6/2001
4/26/2001
7/25/2001
10/24/2001
2/14/2002
4/25/2002
8/1/2002
10/30/2002
2/18/2003
4/30/2003
7/29/2003
10/29/2003
2/12/2004
5/5/2004
7/20/2004
10/27/2004
