IBCIQ
LATEST_ANNOUNCEMENT_DT
4/1/1996
6/26/1996
9/19/1996
12/9/1996
4/2/1997
6/26/1997
9/16/1997
3/30/1998
6/24/1998
9/15/1998
3/30/1999
6/29/1999
9/14/1999
3/31/2000
7/11/2000
9/19/2000
12/12/2000
4/6/2001
7/6/2001
9/19/2001
12/11/2001
4/2/2002
7/2/2002
9/17/2002
12/17/2002
4/8/2003
7/14/2003
9/19/2003
4/15/2004
10/6/2006
10/6/2006
10/6/2006
10/6/2006
12/21/2006
12/21/2006
12/21/2006
12/21/2006
12/22/2006
4/19/2007
8/16/2007
10/4/2007
12/20/2007
4/17/2008
9/15/2008
10/7/2008
