RCRC
LATEST_ANNOUNCEMENT_DT
7/28/1997
10/24/1997
2/24/1998
4/21/1998
7/28/1998
10/27/1998
2/23/1999
4/27/1999
7/27/1999
10/26/1999
2/23/2000
4/25/2000
7/25/2000
10/24/2000
2/21/2001
4/24/2001
7/24/2001
10/23/2001
2/20/2002
4/23/2002
7/18/2002
10/17/2002
2/26/2003
4/29/2003
7/30/2003
10/29/2003
2/25/2004
4/27/2004
7/27/2004
10/26/2004
2/17/2005
4/26/2005
7/26/2005
10/25/2005
2/14/2006
4/25/2006
7/25/2006
10/23/2006
2/13/2007
4/24/2007
8/1/2007
10/24/2007
2/14/2008
4/22/2008
7/30/2008
11/3/2008
2/18/2009
4/21/2009
7/21/2009
10/20/2009
2/18/2010
4/21/2010
7/20/2010
10/19/2010
2/15/2011
