TGNA
LATEST_ANNOUNCEMENT_DT
4/16/1992
1/27/1993
4/15/1992
7/15/1992
10/15/1992
1/27/1994
4/14/1993
7/14/1993
10/13/1993
1/26/1995
4/12/1994
7/12/1994
10/11/1994
2/6/1996
4/10/1995
7/10/1995
10/9/1995
3/21/1997
4/15/1996
7/15/1996
10/14/1996
2/4/1997
4/14/1997
7/14/1997
10/13/1997
2/2/1998
4/13/1998
7/13/1998
10/12/1998
2/1/1999
4/12/1999
7/12/1999
11/9/1999
1/31/2000
4/10/2000
7/10/2000
10/11/2000
2/8/2001
4/17/2001
7/17/2001
10/15/2001
2/7/2002
4/16/2002
7/16/2002
10/15/2002
2/6/2003
4/15/2003
7/15/2003
10/14/2003
2/2/2004
4/12/2004
7/13/2004
10/12/2004
1/26/2005
4/12/2005
7/13/2005
10/11/2005
1/27/2006
4/12/2006
7/12/2006
10/11/2006
2/2/2007
4/19/2007
7/18/2007
10/17/2007
2/1/2008
4/21/2008
7/16/2008
10/24/2008
1/30/2009
4/16/2009
7/15/2009
10/19/2009
2/1/2010
4/16/2010
7/16/2010
10/15/2010
1/31/2011
4/18/2011
7/18/2011
10/17/2011
1/30/2012
4/16/2012
7/16/2012
10/15/2012
2/4/2013
4/23/2013
7/22/2013
10/21/2013
2/4/2014
4/23/2014
7/22/2014
10/20/2014
2/3/2015
4/21/2015
7/21/2015
10/20/2015
02/16/2016
04/27/2016
07/26/2016
11/02/2016
02/27/2017
04/26/2017
