ATISZ
LATEST_ANNOUNCEMENT_DT
5/14/1996
8/7/1996
11/4/1996
2/28/1997
5/2/1997
8/12/1997
11/11/1997
2/25/1998
5/5/1998
8/13/1998
11/12/1998
2/25/1999
5/13/1999
8/12/1999
11/10/1999
2/23/2000
5/11/2000
8/7/2000
11/7/2000
2/12/2001
5/1/2001
8/13/2001
11/13/2001
2/19/2002
5/13/2002
8/13/2002
11/13/2002
